Entity,Year,Wheat ,Rice,Bananas ,Maize ,Soybeans ,Potatoes,"Beans, dry ","Peas, dry ",Cassava ,Cocoa beans,Barley ,Change in global mean surface temperature caused by greenhouse gas emissions from agriculture and land use,Temperature anomaly,Annual precipitation anomaly,Total_Crop_Production,Temperature_Change,Cumulative_Temperature_Anomaly,Temp_Precip_Ratio,Extreme_Heat,Extreme_Precipitation,Temp_Anomaly_5yr_Avg,Precip_Anomaly_5yr_Avg,Wheat _Temp_Interaction,Rice_Temp_Interaction,Bananas _Temp_Interaction,Maize _Temp_Interaction,Soybeans _Temp_Interaction,Potatoes_Temp_Interaction,"Beans, dry _Temp_Interaction","Peas, dry _Temp_Interaction",Cassava _Temp_Interaction,Cocoa beans_Temp_Interaction,Barley _Temp_Interaction,Wheat _Pct_Change,Rice_Pct_Change,Bananas _Pct_Change,Maize _Pct_Change,Soybeans _Pct_Change,Potatoes_Pct_Change,"Beans, dry _Pct_Change","Peas, dry _Pct_Change",Cassava _Pct_Change,Cocoa beans_Pct_Change,Barley _Pct_Change,Years_Since_1961,Entity_Africa,Entity_Asia,Entity_Europe,Entity_North America,Entity_Oceania,Entity_South America,Entity_World
Africa,1961,0.06477,0.136736,0.06147,0.028427,0.055296,0.108084,0.058096,0.094739,0.091179,0.004714,0.031327,0.054815,0.598283,0.403365,0.734838,,0.598283,1.4832298290630075,0,0,,,0.03875078991,0.081806824288,0.03677645601,0.017007390841,0.033082656768,0.064664819772,0.034757849168,0.056680733137000006,0.054550845657,0.002820306062,0.018742411541000002,,,,,,,,,,,,0,True,False,False,False,False,False,False
Africa,1962,0.086418,0.158644,0.064265,0.030262,0.057889,0.101996,0.05973,0.108115,0.09116,0.004797,0.06227,0.056254,0.598283,0.403365,0.8255460000000001,0.0,1.196566,1.4832298290630075,0,0,,,0.051702420294,0.09491400825200001,0.038448656995000004,0.018105240146000002,0.034634004587,0.061022472868,0.03573544359,0.06468336654500001,0.054539478280000005,0.002869963551,0.03725508241,0.33422880963408996,0.16022115609641951,0.0454693346347812,0.06455130685615784,0.04689308449074092,-0.05632656082306353,0.02812586064445055,0.14118789516461017,-0.00020838131587308517,0.017607127704709402,0.9877422032112873,1,True,False,False,False,False,False,False
Africa,1963,0.084146,0.168404,0.06273,0.030196,0.058092,0.103871,0.059615,0.099341,0.092064,0.005053,0.055826,0.057613,0.598283,0.403365,0.819338,0.0,1.7948490000000001,1.4832298290630075,0,0,,,0.050343121318,0.100753250332,0.03753029259,0.018065753468,0.034755456036,0.062144253493000005,0.035666641045,0.059434031503,0.055080326112,0.0030231239990000003,0.033399746758000004,-0.026290819042329105,0.06152139381256139,-0.023885474208356183,-0.002180953010376019,0.0035067111195563605,0.018383073846033104,-0.0019253306546124227,-0.08115432641169129,0.009916630100921253,0.053366687513028976,-0.10348482415288263,2,True,False,False,False,False,False,False
Africa,1964,0.0817,0.161344,0.065248,0.026658,0.054324,0.104331,0.060702,0.103874,0.09256,0.00642,0.049579,0.058953,0.598283,0.403365,0.80674,0.0,2.393132,1.4832298290630075,0,0,,,0.048879721099999995,0.096529372352,0.039036769184,0.015949028214000002,0.032501125692,0.062419463673,0.036316974666,0.062146048342,0.05537707448,0.0038409768600000003,0.029662272857,-0.02906852375632829,-0.04192299470321381,0.04014028375577894,-0.1171678367995761,-0.06486263168766782,0.004428570053238934,0.01823366602365173,0.04563070635487865,0.005387556482447042,0.2705323570156344,-0.11190126464371442,3,True,False,False,False,False,False,False
Africa,1965,0.077579,0.153923,0.066367,0.027951,0.051199,0.108165,0.062358,0.100615,0.095055,0.004716,0.05394,0.060233,0.598283,0.403365,0.801868,0.0,2.991415,1.4832298290630075,0,0,0.598283,0.403365,0.046414196857,0.09208951420900001,0.039706247861,0.016722608133,0.030631491317000003,0.064713280695,0.037307731313999996,0.060196244045,0.056869790565,0.0028215026279999997,0.03227138502,-0.05044063647490815,-0.04599489289964287,0.01714995095635108,0.04850326356065726,-0.05752521905603414,0.03674842568364145,0.02728081447069286,-0.03137454993549871,0.026955488331892763,-0.2654205607476636,0.0879606284919019,4,True,False,False,False,False,False,False
Africa,1966,0.070957,0.151345,0.064975,0.029196,0.055108,0.110237,0.063833,0.099712,0.094782,0.005977,0.03416,0.061455,0.598283,0.403365,0.780282,0.0,3.5896980000000003,1.4832298290630075,0,0,0.598283,0.403365,0.042452366831,0.09054714063500001,0.038873437925000004,0.017467470468,0.032970179564,0.06595292307100001,0.038190198739,0.059655994495999995,0.056706459306000004,0.0035759374909999997,0.02043734728,-0.0853581510460304,-0.016748634057288325,-0.02097427938583918,0.04454223462487916,0.07634914744428589,0.019155919197522353,0.023653741300234232,-0.008974804949560267,-0.0028720214612592,0.2673876166242579,-0.3667037449017426,5,True,False,False,False,False,False,False
Africa,1967,0.078754,0.164422,0.069115,0.037275,0.061626,0.109196,0.065335,0.100179,0.094462,0.005862,0.048599,0.062728,0.598283,0.403365,0.8348250000000002,0.0,4.187981,1.4832298290630075,0,0,0.598283,0.403365,0.047117179382,0.098370887426,0.041350329545,0.022300998825,0.036869788158,0.065330110468,0.039088819805,0.059935392657,0.056515008746,0.003507134946,0.029075955517000002,0.10988345054046822,0.0864052330767453,0.06371681415929187,0.2767159884915742,0.11827683820860857,-0.009443290365303891,0.023530148982501276,0.004683488446726614,-0.003376168470806684,-0.019240421616195325,0.42268735362997645,6,True,False,False,False,False,False,False
Africa,1968,0.093021,0.167519,0.069462,0.029274,0.061247,0.113391,0.062879,0.101545,0.09577,0.005313,0.075281,0.063982,0.598283,0.403365,0.8747020000000001,0.0,4.786264,1.4832298290630075,0,0,0.598283,0.403365,0.055652882943000005,0.100223769877,0.041557933745999996,0.017514136542,0.036643038901,0.067839907653,0.037619436757000004,0.060752647235,0.057297562909999995,0.0031786775790000003,0.045039342523,0.1811590522386164,0.018835678923744936,0.005020617810894912,-0.2146478873239437,-0.0061500016226916365,0.03841715813766067,-0.03759087778373005,0.013635592289801268,0.013846837881899443,-0.09365404298874103,0.5490236424617789,7,True,False,False,False,False,False,False
Africa,1969,0.075606,0.172505,0.069597,0.031077,0.067585,0.108432,0.06189,0.104504,0.095876,0.005928,0.058927,0.065253,0.598283,0.403365,0.851927,0.0,5.384547,1.4832298290630075,0,0,0.598283,0.403365,0.045233784498,0.103206808915,0.041638701951,0.018592840791,0.040434956555000005,0.064873022256,0.03702773487,0.06252296663200001,0.057360980908,0.003546621624,0.035255022341,-0.1872157899829071,0.029763787988228207,0.001943508681005568,0.06159048985447835,0.10348261955687632,-0.04373362965314709,-0.015728621638384843,0.02913979024077995,0.0011068184191291852,0.11575381140598529,-0.21723940967840494,8,True,False,False,False,False,False,False
Africa,1970,0.081493,0.169418,0.063,0.030989,0.064241,0.115816,0.062419,0.103027,0.099432,0.006513,0.059769,0.066644,0.598283,0.403365,0.8561169999999999,0.0,5.98283,1.4832298290630075,0,0,0.598283,0.403365,0.048755876519,0.101359909294,0.037691829,0.018540191887,0.038434298203000004,0.069290743928,0.037344226577000005,0.061639302640999996,0.059488475256000005,0.003896617179,0.035758776627,0.07786419067269779,-0.017895133474391978,-0.09478856847277906,-0.0028316761592174222,-0.049478434563882456,0.0680979784565443,0.008547422846986619,-0.014133430299318794,0.03708957403312607,0.09868421052631571,0.01428886588490852,9,True,False,False,False,False,False,False
